Timestamp_ms,Temperatura_C,Corrente_A,Magnitude_Vibracao,Vibracao_Detectada
0,15.10,12.81,0.00,0
2000,15.10,6.72,0.00,0
4000,42.70,6.72,0.00,0
6000,42.70,6.72,18.14,1
8000,42.70,6.72,1.96,0
10000,42.70,6.72,42.65,1
12000,42.70,6.72,9.32,1
14000,54.90,6.72,0.00,0
16000,54.90,6.72,12.26,1
18000,54.90,6.72,2.94,1
20000,54.90,6.72,11.27,1
22000,54.90,6.72,3.43,1
24000,54.90,16.85,0.00,0
26000,18.40,16.85,10.30,1
28000,18.40,16.85,3.92,1
30000,18.40,16.85,17.16,1
32000,18.40,16.85,5.88,1
34000,18.40,16.85,22.06,1
36000,18.40,16.85,9.31,1
38000,18.40,16.85,0.00,0
40000,18.40,16.85,19.12,1
42000,18.40,16.85,9.31,1
44000,35.00,22.26,0.00,0
46000,35.00,15.49,0.00,0
48000,35.00,15.49,7.85,1
50000,35.00,15.49,14.71,1
52000,35.00,15.49,23.54,1
54000,35.00,15.49,25.49,1
56000,35.00,15.49,3.92,1
58000,35.00,15.49,2.94,1
60000,35.00,15.49,6.86,1
62000,35.00,15.49,4.41,1
64000,65.90,15.49,0.00,0
66000,65.90,32.38,0.00,0
68000,65.90,32.38,5.88,1
70000,65.90,32.38,20.10,1
72000,65.90,32.38,2.94,1
74000,65.90,32.38,11.77,1
76000,65.90,32.38,13.73,1
78000,65.90,32.38,13.24,1
80000,65.90,32.38,7.35,1
82000,65.90,32.38,8.83,1
84000,65.90,32.38,9.32,1
86000,65.90,32.38,17.16,1
88000,48.20,32.38,11.77,1
90000,28.30,12.81,0.00,0
92000,28.30,12.81,0.00,0
94000,28.30,12.81,13.73,1
96000,28.30,12.81,11.28,1
98000,28.30,12.81,0.00,0
100000,28.30,12.81,0.00,0
102000,28.30,12.81,0.00,0
104000,28.30,12.81,0.00,0
106000,28.30,12.81,0.00,0
108000,28.30,12.81,0.00,0
110000,28.30,12.81,0.00,0
112000,28.30,12.81,0.00,0
114000,28.30,12.81,0.00,0
116000,28.30,12.81,0.00,0
118000,28.30,12.81,0.00,0
120000,28.30,12.81,0.00,0
122000,28.30,12.81,0.00,0
124000,28.30,12.81,0.00,0
126000,28.30,12.81,0.00,0
128000,28.30,12.81,0.00,0
130000,28.30,12.81,0.00,0
132000,28.30,12.81,0.00,0
134000,28.30,12.81,0.00,0
136000,28.30,12.81,0.00,0
138000,28.30,12.81,0.00,0
140000,28.30,12.81,0.00,0
